iter	Passed	Remaining
421	2212	3030
422	2218	3026
423	2224	3021
424	2230	3017
425	2235	3012
426	2242	3009
427	2248	3005
428	2254	3000
429	2260	2996
430	2266	2991
431	2271	2986
432	2276	2981
433	2282	2976
434	2288	2972
435	2294	2968
436	2300	2963
437	2306	2958
438	2312	2954
439	2318	2950
440	2324	2946
441	2329	2941
442	2335	2936
443	2341	2931
444	2346	2926
445	2352	2922
446	2358	2917
447	2364	2912
448	2370	2908
449	2375	2903
450	2381	2898
451	2386	2893
452	2392	2889
453	2397	2883
454	2403	2879
455	2409	2874
456	2415	2869
457	2421	2865
458	2426	2860
459	2432	2855
460	2437	2850
461	2443	2845
462	2449	2840
463	2454	2835
464	2460	2830
465	2465	2825
466	2471	2820
467	2476	2815
468	2482	2811
469	2488	2806
470	2493	2801
471	2499	2796
472	2505	2791
473	2511	2786
474	2516	2781
475	2522	2777
476	2528	2772
477	2534	2767
478	2540	2762
479	2545	2758
480	2551	2753
481	2557	2748
482	2562	2743
483	2568	2738
484	2573	2733
485	2579	2728
486	2585	2723
487	2591	2718
488	2596	2713
489	2602	2708
490	2608	2704
491	2614	2699
492	2619	2693
493	2624	2688
494	2630	2683
495	2633	2676
496	2639	2671
497	2645	2666
498	2651	2662
499	2657	2657
500	2663	2652
501	2668	2647
502	2675	2643
503	2680	2638
504	2686	2633
505	2692	2628
506	2698	2623
507	2703	2618
508	2709	2613
509	2715	2608
510	2721	2604
511	2726	2598
512	2732	2594
513	2738	2589
514	2744	2584
515	2749	2579
516	2755	2574
517	2760	2568
518	2765	2563
519	2770	2557
520	2776	2552
521	2781	2547
522	2787	2542
523	2793	2537
524	2798	2532
525	2804	2527
526	2809	2521
527	2815	2516
528	2820	2511
529	2826	2506
530	2831	2501
531	2837	2496
532	2843	2491
533	2848	2485
534	2854	2480
535	2859	2475
536	2865	2470
537	2871	2465
538	2877	2460
539	2883	2455
540	2888	2450
541	2894	2445
542	2899	2440
543	2905	2435
544	2910	2430
545	2916	2425
546	2922	2419
547	2928	2415
548	2933	2409
549	2939	2405
550	2945	2400
551	2950	2394
552	2956	2389
553	2962	2384
554	2968	2379
555	2973	2374
556	2978	2369
557	2984	2363
558	2990	2359
559	2996	2354
560	3002	2349
561	3008	2344
562	3014	2339
563	3019	2334
564	3025	2329
565	3031	2324
566	3036	2318
567	3042	2313
568	3047	2308
569	3053	2303
570	3059	2298
571	3064	2293
572	3070	2288
573	3076	2283
574	3082	2278
575	3087	2273
576	3091	2266
577	3097	2261
578	3102	2256
579	3108	2250
580	3114	2245
581	3119	2240
582	3125	2235
583	3130	2230
584	3136	2225
585	3142	2219
586	3147	2214
587	3153	2209
588	3158	2204
589	3164	2198
590	3169	2193
591	3175	2188
592	3180	2183
593	3186	2178
594	3192	2173
595	3198	2167
596	3203	2162
597	3209	2157
598	3212	2150
599	3217	2145
600	3223	2140
601	3229	2135
602	3235	2129
603	3240	2124
604	3246	2119
605	3251	2114
606	3257	2109
607	3263	2104
608	3269	2098
609	3275	2094
610	3281	2088
611	3286	2083
612	3292	2078
613	3298	2073
614	3303	2068
615	3309	2063
616	3315	2058
617	3321	2052
618	3326	2047
619	3332	2042
620	3338	2037
621	3343	2032
622	3349	2027
623	3355	2021
624	3362	2017
625	3368	2012
626	3374	2007
627	3380	2002
628	3386	1997
629	3392	1992
630	3397	1987
631	3403	1981
632	3409	1976
633	3415	1971
634	3421	1966
635	3427	1961
636	3433	1956
637	3438	1951
638	3444	1945
639	3450	1940
640	3455	1935
641	3460	1929
642	3466	1924
643	3472	1919
644	3477	1914
645	3483	1908
646	3489	1903
647	3494	1898
648	3500	1893
649	3506	1887
650	3511	1882
651	3517	1877
652	3523	1872
653	3529	1867
654	3534	1861
655	3540	1856
656	3545	1851
657	3551	1846
658	3557	1840
659	3562	1835
660	3568	1830
661	3574	1824
662	3579	1819
663	3585	1814
664	3591	1809
665	3596	1803
666	3602	1798
667	3608	1793
668	3613	1787
669	3619	1782
670	3624	1777
671	3630	1772
672	3637	1767
673	3642	1762
674	3648	1756
675	3654	1751
676	3659	1746
677	3665	1740
678	3671	1735
679	3676	1730
680	3682	1724
681	3687	1719
682	3693	1714
683	3699	1709
684	3705	1703
685	3711	1698
686	3717	1693
687	3723	1688
688	3728	1683
689	3734	1677
690	3740	1672
691	3745	1667
692	3751	1662
693	3757	1656
694	3763	1651
695	3768	1646
696	3774	1640
697	3780	1635
698	3786	1630
699	3792	1625
700	3798	1620
701	3804	1615
702	3810	1609
703	3815	1604
704	3821	1599
705	3827	1593
706	3833	1588
707	3838	1583
708	3844	1577
709	3849	1572
710	3855	1567
711	3861	1561
712	3866	1556
713	3872	1551
714	3878	1545
715	3884	1540
716	3889	1535
717	3895	1529
718	3901	1524
719	3906	1519
720	3912	1514
721	3918	1508
722	3925	1503
723	3930	1498
724	3935	1492
725	3941	1487
726	3947	1482
727	3952	1476
728	3958	1471
729	3963	1465
730	3969	1460
731	3974	1455
732	3980	1449
733	3985	1444
734	3991	1439
735	3996	1433
736	4002	1428
737	4007	1422
738	4013	1417
739	4018	1411
740	4024	1406
741	4029	1401
742	4034	1395
743	4040	1390
744	4045	1384
745	4051	1379
746	4056	1373
747	4062	1368
748	4067	1363
749	4073	1357
750	4078	1352
751	4084	1347
752	4089	1341
753	4095	1336
754	4100	1330
755	4106	1325
756	4111	1319
757	4117	1314
758	4122	1309
759	4128	1303
760	4134	1298
761	4139	1293
762	4145	1287
763	4151	1282
764	4157	1277
765	4162	1271
766	4168	1266
767	4173	1260
768	4179	1255
769	4185	1250
770	4191	1244
771	4196	1239
772	4202	1234
773	4208	1228
774	4214	1223
775	4220	1218
776	4225	1212
777	4231	1207
778	4237	1202
779	4242	1196
780	4248	1191
781	4254	1185
782	4259	1180
783	4265	1175
784	4271	1169
785	4277	1164
786	4282	1159
