iter	Logloss
0	0.6889825792
1	0.6853011542
2	0.6815041796
3	0.6780948724
4	0.6741600119
5	0.6695760021
6	0.6655350722
7	0.6619410655
8	0.6585665936
9	0.6549846673
10	0.6521488538
11	0.648264415
12	0.6449539313
13	0.641448214
14	0.6378326703
15	0.6349016006
16	0.6316442465
17	0.627948601
18	0.6248267075
19	0.6214521069
20	0.6176620478
21	0.6136061091
22	0.6109694286
23	0.6090413498
24	0.6061272789
25	0.602675557
26	0.6008830173
27	0.5978182472
28	0.5954987993
29	0.5927549093
30	0.5905178429
31	0.587844993
32	0.5856170917
33	0.5825740471
34	0.5804698128
35	0.5784652145
36	0.5759404154
37	0.5733155008
38	0.5712198666
39	0.5695961726
40	0.5669772616
41	0.5645242282
42	0.5617880412
43	0.5592392998
44	0.5570886862
45	0.5550201579
46	0.5530710963
47	0.5508060277
48	0.5483696348
49	0.5464778632
50	0.5445235735
51	0.5424716026
52	0.5406183417
53	0.5382975878
54	0.5363963181
55	0.5350274158
56	0.5330411633
57	0.531392203
58	0.5296709979
59	0.5278263301
60	0.5257734556
61	0.5241678679
62	0.5226027071
63	0.5209548886
64	0.5196627383
65	0.5175610795
66	0.5155898517
67	0.5136144503
68	0.5119394327
69	0.5103805169
70	0.5083170221
71	0.5063931068
72	0.5051561338
73	0.5040036746
74	0.5023656626
75	0.5011299219
76	0.4994794325
77	0.4982983433
78	0.4971569373
79	0.4954526437
80	0.493907027
81	0.4930862377
82	0.4917067295
83	0.4901478375
84	0.4889897666
85	0.48798972
86	0.4861629974
87	0.4853672305
88	0.4844051544
89	0.4834379533
90	0.4826439036
91	0.4812770722
92	0.4800825354
93	0.4789017761
94	0.4776116464
95	0.4764610838
96	0.4751045546
97	0.4742529507
98	0.4732655471
99	0.4721948729
100	0.471431782
101	0.4704152715
102	0.4694546351
103	0.4681742366
104	0.4673201047
105	0.4664081634
106	0.465692154
107	0.4647546908
108	0.4635977343
109	0.4626349196
110	0.4616536766
111	0.4603321922
112	0.4594590208
113	0.4586509213
114	0.457746684
115	0.4572587425
116	0.4563530959
117	0.4555018756
118	0.4542465093
119	0.4533449277
120	0.4528149183
121	0.4519162664
122	0.4509116516
123	0.4497168798
124	0.4487302178
125	0.4475917189
126	0.4467058911
127	0.4458952366
128	0.4450486646
129	0.4442250366
130	0.4434008385
131	0.442628415
132	0.442033865
133	0.441173963
134	0.4403419734
135	0.4393216872
136	0.4383380839
137	0.4372627925
138	0.4367379637
139	0.4362223481
140	0.4355498048
141	0.4348926042
142	0.4339453656
143	0.4332246967
144	0.4324317511
145	0.4319075782
146	0.4313730358
147	0.4305176208
148	0.4297645856
149	0.4290597867
150	0.4285516479
151	0.427682307
152	0.4269619739
153	0.4259862985
154	0.4254440992
155	0.4245158479
156	0.4237764271
157	0.4231819952
158	0.4225968811
159	0.4219076255
160	0.4214727348
161	0.4205548841
162	0.4195481684
163	0.4190969211
164	0.418481894
165	0.4177176465
166	0.4170010462
167	0.4163507008
168	0.4158915719
169	0.4153583835
170	0.4146980319
171	0.4141321978
172	0.4137097916
173	0.412952432
174	0.4123558172
175	0.4116078645
176	0.411187334
177	0.4107496762
178	0.4102217921
179	0.4097755741
180	0.4092774045
181	0.408733054
182	0.4081372633
183	0.4074553794
184	0.4066780701
185	0.4061344531
186	0.4057203986
187	0.4052565715
188	0.4046483742
189	0.4042139132
190	0.4037112397
191	0.4033543291
192	0.4028193901
193	0.4023943662
194	0.4020088571
195	0.401442545
196	0.4009559967
197	0.4005588323
198	0.4001633312
199	0.3996405943
200	0.3992291168
201	0.3985883192
202	0.3982031098
203	0.3976667013
204	0.397168017
205	0.3968552304
206	0.3964593983
207	0.3961650825
208	0.3958160118
209	0.3954100849
210	0.3948012509
211	0.3943856143
212	0.3938108462
213	0.3933668361
214	0.3927548937
215	0.3922037766
216	0.39164757
217	0.3911681429
218	0.3904732326
219	0.3900147275
220	0.3896856575
221	0.3891198606
222	0.3885986808
223	0.3882617065
224	0.3879056052
225	0.3874383322
226	0.3870566352
227	0.3865533328
228	0.3859661638
229	0.3854459448
230	0.3850825746
231	0.3847194345
232	0.3842260188
233	0.3837158069
234	0.383209106
235	0.3827585575
236	0.3822350064
237	0.3817680812
238	0.3814843434
239	0.3810004976
240	0.3807288287
241	0.3802148397
242	0.3796655969
243	0.3792580191
244	0.3787717696
245	0.3782020463
246	0.377846197
247	0.377581246
248	0.3771905463
249	0.3766779371
250	0.3763217055
251	0.3757162816
252	0.3751613821
253	0.3748499152
254	0.3743370816
255	0.3740270996
256	0.3735140737
257	0.3729203834
258	0.37259243
259	0.372119896
260	0.3717604301
261	0.3714761344
262	0.3711822757
263	0.3707216953
264	0.3704009932
265	0.3698143457
266	0.3694248683
267	0.3691294057
268	0.3686742518
269	0.3682258479
270	0.3680073174
271	0.3674765618
272	0.3671936113
273	0.3667195761
274	0.3662860635
275	0.3657733844
276	0.365611449
277	0.3652189179
278	0.3649721671
279	0.3647734263
280	0.3645345905
281	0.3642728706
282	0.3636690527
283	0.363279452
284	0.3629357118
285	0.3624741872
286	0.3621333936
287	0.3617387162
288	0.3613966941
289	0.3611341041
290	0.3607658778
291	0.3604388296
292	0.3599835228
293	0.3596594561
294	0.3593036048
295	0.3587082921
296	0.3582104827
297	0.3579419195
298	0.3575519939
299	0.3571144555
300	0.3566719102
301	0.356429435
302	0.3559820091
303	0.3555618377
304	0.3553133106
305	0.3550204027
306	0.35472582
307	0.354319385
308	0.3539528438
309	0.3537243645
310	0.3534313844
311	0.3529799956
312	0.3526217054
313	0.3522504612
314	0.3517709859
315	0.3512085534
316	0.3507273906
317	0.3504766261
318	0.3501410163
319	0.3495852868
320	0.3493218658
321	0.3489712445
322	0.3484895728
323	0.3481420966
324	0.3479326265
325	0.3474916945
326	0.3470900404
327	0.3467915836
328	0.3465121945
329	0.3461072808
330	0.3458234849
331	0.345565992
332	0.3452613331
333	0.3447716673
334	0.3444874881
335	0.3440938925
336	0.3437313461
337	0.3435295935
338	0.3432664867
339	0.3428238308
340	0.3424965638
341	0.3421819123
342	0.3419157851
343	0.3415488478
344	0.3412198205
345	0.3409184196
346	0.3407486399
347	0.3405296227
348	0.3402353638
349	0.3399275698
350	0.3396739233
351	0.3394285964
352	0.338990104
353	0.3387303009
354	0.3384012994
355	0.3379349683
356	0.3377077754
357	0.3375215747
358	0.3371026473
359	0.33688803
360	0.3366311527
361	0.3364774754
362	0.3361674569
363	0.3358961797
364	0.335726733
365	0.3354422689
366	0.3350407618
367	0.3347690619
368	0.3344993126
369	0.3341907351
370	0.3339118566
371	0.3334857708
372	0.3333363352
373	0.3327630394
374	0.3325652756
375	0.3323799697
376	0.3320546165
377	0.3318031535
378	0.3316068083
379	0.3314742761
380	0.3308978907
381	0.3305252089
382	0.330202258
383	0.3296991012
384	0.3295296244
385	0.3292812061
386	0.3291374831
387	0.3288477156
388	0.3286505436
389	0.3281996533
390	0.3280702318
391	0.3279357338
392	0.327742121
393	0.3274949787
394	0.3272228174
395	0.3268943105
396	0.3267040546
397	0.3265932667
